h,m,tau_5000,T,vmic,NH,NE,P_tot,Pg/Ptot,sigma
2543,5.26E-06,0,447000,11.28,1.01E+09,1.21E+09,1.44E-01,0.9896,2.349-15
2298,5.37E-06,3.71E-08,141000,9.87,3.21E+09,3.84E+09,1.47E-01,0.9752,7.494-15
2290,5.37E-06,3.97E-08,89100,9.82,5.04E+09,5.96E+09,1.47E-01,0.9614,1.179-14
2280,5.39E-06,4.49E-08,50000,9.76,9.04E+09,9.99E+09,1.48E-01,0.9318,2.113-14
2274,5.40E-06,4.95E-08,37000,9.73,1.20E+10,1.32E+10,1.48E-01,0.9102,2.808-14
2271,5.41E-06,5.23E-08,32000,9.71,1.38E+10,1.50E+10,1.48E-01,0.8976,3.222-14
2267,5.43E-06,5.66E-08,28000,9.7,1.57E+10,1.68E+10,1.49E-01,0.884,3.665-14
2263,5.44E-06,6.12E-08,25500,9.68,1.72E+10,1.81E+10,1.49E-01,0.8738,4.017-14
2255,5.48E-06,7.11E-08,24500,9.64,1.80E+10,1.88E+10,1.50E-01,0.8698,4.203-14
2230,5.58E-06,1.03E-07,24200,9.49,1.86E+10,1.94E+10,1.53E-01,0.8718,4.355-14
2200,5.72E-06,1.43E-07,24000,9.33,1.93E+10,2.01E+10,1.57E-01,0.8645,4.517-14
2160,5.90E-06,1.98E-07,23500,9.08,2.05E+10,2.12E+10,1.62E-01,0.8778,4.795-14
2129,6.06E-06,2.43E-07,23000,8.87,2.16E+10,2.22E+10,1.66E-01,0.8801,5.058-14
2120,6.10E-06,2.56E-07,22500,8.81,2.23E+10,2.28E+10,1.67E-01,0.8789,5.126-14
2115,6.13E-06,2.64E-07,21000,8.78,2.40E+10,2.40E+10,1.68E-01,0.871,5.619-14
2113,6.14E-06,2.67E-07,18500,8.77,2.73E+10,2.62E+10,1.68E-01,0.8539,6.390-14
2109,6.17E-06,2.75E-07,12300,8.74,4.09E+10,3.31E+10,1.69E-01,0.7839,9.569-14
2107,6.19E-06,2.80E-07,10700,8.72,4.67E+10,3.54E+10,1.70E-01,0.7552,1.093-13
2104,6.23E-06,2.88E-07,9500,8.71,5.24E+10,3.71E+10,1.71E-01,0.7277,1.225-13
2090,6.42E-06,3.24E-07,8440,8.6,6.13E+10,3.80E+10,1.76E-01,0.6986,1.433-13
2080,6.56E-06,3.51E-07,8180,8.55,6.54E+10,3.78E+10,1.80E-01,0.6891,1.530-13
2070,6.72E-06,3.77E-07,7940,8.5,6.96E+10,3.78E+10,1.84E-01,0.6808,1.628-13
2050,7.07E-06,4.30E-07,7660,8.42,7.71E+10,3.79E+10,1.94E-01,0.6701,1.802-13
2016,7.73E-06,5.20E-07,7360,8.22,9.08E+10,3.81E+10,2.12E-01,0.6616,2.122-13
1990,8.32E-06,5.90E-07,7160,8.01,1.03E+11,3.86E+10,2.28E-01,0.66,2.417-13
1925,1.02E-05,7.72E-07,6940,7.63,1.38E+11,4.03E+10,2.78E-01,0.662,3.227-13
1785,1.65E-05,1.21E-06,6630,6.92,2.60E+11,4.77E+10,4.51E-01,0.6772,6.082-13
1605,3.41E-05,1.96E-06,6440,5.85,6.39E+11,6.01E+10,9.33E-01,0.7262,1.493-12
1515,5.14E-05,2.42E-06,6370,5.26,1.05E+12,6.46E+10,1.41E+00,0.7595,2.450-12
1380,1.01E-04,3.29E-06,6280,4.51,2.27E+12,7.60E+10,2.77E+00,0.8051,5.315-12
1280,1.75E-04,4.08E-06,6220,3.92,4.20E+12,7.49E+10,4.79E+00,0.8423,9.822-12
1180,3.11E-04,5.08E-06,6150,3.48,7.87E+12,8.11E+10,8.53E+00,0.8694,1.839-11
1065,6.30E-04,6.86E-06,6040,2.73,1.71E+13,9.35E+10,1.73E+01,0.9136,4.000-11
980,1.10E-03,9.15E-06,5925,2.14,3.15E+13,1.04E+11,3.01E+01,0.944,7.359-11
905,1.84E-03,1.24E-05,5755,1.7,5.55E+13,1.05E+11,5.04E+01,0.9628,1.297-10
855,2.63E-03,1.55E-05,5650,1.53,8.14E+13,1.06E+11,7.21E+01,0.9691,1.902-10
755,5.58E-03,2.54E-05,5280,1.23,1.86E+14,8.84E+10,1.53E+02,0.9784,4.358-10
705,8.33E-03,3.29E-05,5030,1.09,2.94E+14,7.66E+10,2.28E+02,0.9821,6.864-10
655,1.28E-02,4.45E-05,4730,0.96,4.79E+14,8.09E+10,3.50E+02,0.9852,1.121-09
605,2.01E-02,7.02E-05,4420,0.83,8.12E+14,1.11E+11,5.52E+02,0.9881,1.899-09
555,3.27E-02,1.46E-04,4230,0.7,1.38E+15,1.73E+11,8.96E+02,0.9912,3.232-09
515,4.88E-02,3.01E-04,4170,0.6,2.10E+15,2.50E+11,1.34E+03,0.9934,4.902-09
450,9.38E-02,1.02E-03,4220,0.53,3.99E+15,4.52E+11,2.57E+03,0.9949,9.327-09
350,2.48E-01,5.63E-03,4465,0.52,9.98E+15,1.11E+12,6.80E+03,0.9954,2.334-08
250,6.17E-01,2.67E-02,4780,0.63,2.32E+16,2.67E+12,1.69E+04,0.9936,5.413-08
150,1.43E+00,1.12E-01,5180,1,4.92E+16,6.48E+12,3.93E+04,0.9854,1.150-07
100,2.12E+00,2.20E-01,5455,1.2,6.87E+16,1.07E+13,5.80E+04,0.9801,1.606-07
50,3.06E+00,4.40E-01,5840,1.4,9.20E+16,2.12E+13,8.27E+04,0.9748,2.152-07
0,4.28E+00,9.95E-01,6420,1.6,1.17E+17,6.43E+13,1.17E+05,0.9702,2.727-07
-25,4.99E+00,1.68E+00,6910,1.7,1.26E+17,1.55E+14,1.37E+05,0.9688,2.949-07
-50,5.75E+00,3.34E+00,7610,1.76,1.32E+17,4.65E+14,1.58E+05,0.9697,3.080-07
-75,6.53E+00,7.45E+00,8320,1.8,1.37E+17,1.20E+15,1.79E+05,0.9711,3.192-07
